method,landmarks,feature_dimensions,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,training_seconds,test_inference_seconds
LBF,68,136,0.4216959511077158,0.3631612843936086,0.4275954255161147,0.3696243664981998,0.42503120851525666,0.3678801160997445,0.4274440118905368,17.129956099999617,0.021948899999188143
RTMPose,106,318,0.5342500636618284,0.4638017141525309,0.5415119560374276,0.47883964626635445,0.5323979764513658,0.4783844911913969,0.5462668670423133,27.40924300000006,0.04708559999926365
